PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  2",72
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  3",55
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  4",61
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  6",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  7",14
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  8",16
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  9",30
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 10",26
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade  9",558
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 10",572
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 11",540
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 12",552
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Pre-kindergarten",55
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Kindergarten",68
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  1",83
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  2",71
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  3",79
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  4",72
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  5",74
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade  8",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade  9",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 10",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  6",167
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  7",165
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  8",157
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  9",125
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade 10",110
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade 11",85
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Kindergarten",102
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  1",67
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  2",74
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  3",74
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  4",57
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  5",59
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  6",45
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  7",32
"2017-2018",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  8",14
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade  9",670
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 10",571
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 11",522
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 12",504
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Pre-kindergarten",170
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  4",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  6",6
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  7",5
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  8",6
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade  9",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2017-2018",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  5",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  6",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  8",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade  9",6
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 10",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  6",360
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  7",311
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Grade  8",335
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Early Education",11
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Pre-kindergarten",34
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Kindergarten",120
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  1",109
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  2",142
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  3",115
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  4",134
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"ELEMENTARY","Grade  5",145
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Kindergarten",175
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  1",168
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  2",155
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  3",165
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  4",170
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"ELEMENTARY","Grade  5",180
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Pre-kindergarten",124
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Kindergarten",75
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  1",77
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  2",75
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  3",62
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  4",57
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"ELEMENTARY","Grade  5",77
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Kindergarten",52
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  1",69
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  2",83
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  3",79
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  4",86
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"ELEMENTARY","Grade  5",105
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Kindergarten",65
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  1",63
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  2",64
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  3",72
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  4",70
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  5",81
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"ELEMENTARY","Grade  6",38
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Early Education",14
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Pre-kindergarten",63
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Kindergarten",92
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  1",96
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  2",95
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  3",97
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  4",97
"2017-2018",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"ELEMENTARY","Grade  5",98
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Pre-kindergarten",52
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Kindergarten",80
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  1",77
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  2",56
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  3",70
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  4",63
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"ELEMENTARY","Grade  5",39
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  6",280
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  7",292
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"MIDDLE SCHOOL","Grade  8",274
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Early Education",5
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Kindergarten",107
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  1",108
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  2",146
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  3",119
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  4",125
"2017-2018",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"ELEMENTARY","Grade  5",140
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Pre-kindergarten",31
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Kindergarten",63
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  1",70
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  2",65
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  3",41
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  4",50
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Grade  5",58
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Pre-kindergarten",66
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Kindergarten",76
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  1",80
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  2",67
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  3",84
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  4",96
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"ELEMENTARY","Grade  5",94
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Pre-kindergarten",52
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Kindergarten",90
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  1",81
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  2",83
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  3",75
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  4",69
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  5",65
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Early Education",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Kindergarten",113
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  1",115
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  2",147
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  3",156
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  4",171
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  5",156
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Pre-kindergarten",64
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Kindergarten",83
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  1",77
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  2",90
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  3",79
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  4",83
"2017-2018",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  5",92
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Early Education",12
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Pre-kindergarten",71
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Kindergarten",75
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Grade  1",70
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Grade  2",84
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"ELEMENTARY","Grade  3",73
